Ülke;Temsilcilik;Düzenlenmiş Adres;1. tur başlangıç;1. tur bitiş;2. tur başlangıç;2. tur bitiş
Almanya;Berlin Başkonsolosluğu;Heerstr.21, 14052 Berlin, Almanya;27 Nisan;9 Mayıs;20 Mayıs;24 Mayıs
Almanya;Düsseldorf Başkonsolosluğu;Willstätter Straβe 9, 40549 Düsseldorf, Almanya;27 Nisan;9 Mayıs;20 Mayıs;24 Mayıs
Almanya;Essen Başkonsolosluğu;Essen Fuar ve Kongre Merkezi (Grugahalle) Messeplatz 2 45131 Essen, Almanya;27 Nisan;9 Mayıs;20 Mayıs;24 Mayıs
Almanya;Essen Başkonsolosluğu / Dortmund;Dortmund Türk Eğitim Merkezi (DOTEM) Nollendorfpl. 2 44339 Dortmund, Almanya;29 Nisan;1 Mayıs;20 Mayıs;21 Mayıs
Almanya;Essen Başkonsolosluğu / Siegen;Kongresszentrum Siegerlanhalle Koblenzer Strasse 151, 57072 Siegen;29 Nisan;1 Mayıs;20 Mayıs;21 Mayıs
Almanya;Frankfurt Başkonsolosluğu;Kennedyallee 115-117 60596 Frankfurt am Main, Almanya;27 Nisan;9 Mayıs;20 Mayıs;24 Mayıs
Almanya;Frankfurt Başkonsolosluğu / Fulda;Familien Schule Fulda Gallasiniring 30, 36043 Fulda, Almanya;29 Nisan;1 Mayıs;20 Mayıs;21 Mayıs
Almanya;Frankfurt Başkonsolosluğu / Limburg;Limburg Westerwaldstrasse 86, 65549 Limburg, Almanya;29 Nisan;1 Mayıs;20 Mayıs;21 Mayıs
Almanya;Hamburg Başkonsolosluğu;Tesdorpfstrasse 18, 20148 Hamburg, Almanya;27 Nisan;9 Mayıs;20 Mayıs;24 Mayıs
Almanya;Hamburg Başkonsolosluğu / Kiel;Erich Kastner Weg 100, 24143 Kiel, Almanya;29 Nisan;1 Mayıs;20 Mayıs;21 Mayıs
Almanya;Hannover Başkonsolosluğu;Deutsche Messe AG Messegelände 30521 Hannover, Almanya 1 Tur: Convention Center Sall 1 - 2. Tur: Halle 18;27 Nisan;9 Mayıs;20 Mayıs;24 Mayıs
Almanya;Hannover Başkonsolosluğu / Bremen;Congress Bremen M3B GmbH Findorffstr. 101 28215 Bremen,Almanya 1. Tur: Halle 4 - 2. Tur: Halle 7;29 Nisan;1 Mayıs;20 Mayıs;21 Mayıs
Almanya;Karlsruhe Başkonsolosluğu;Rintheimer Str 82,76131, Karlsruhe, Almanya;27 Nisan;9 Mayıs;20 Mayıs;24 Mayıs
Almanya;Karlsruhe Başkonsolosluğu / Mannheim;1. Tur: Kulturhaus Kaefertal Gartenstrasse 8, 68309 Mannheim, Almanya 2. Tur: TSV Mannheim 1846 Hans Reschke Ufer 4a, 68165 Mannheim, Almanya;29 Nisan;1 Mayıs;20 Mayıs;21 Mayıs
Almanya;Kassel Başkonsolosluğu;Niestetalweg 6-8, 34123 Kassel, Almanya;27 Nisan;9 Mayıs;20 Mayıs;24 Mayıs
Almanya;Köln Başkonsolosluğu;Luxemburger Str. 285, 50354 Hürth, Almanya;27 Nisan;9 Mayıs;20 Mayıs;24 Mayıs
Almanya;Köln Başkonsolosluğu / Aachen;Zollernstraße 16, 52070 Aachen Almanya;29 Nisan;1 Mayıs;20 Mayıs;21 Mayıs
Almanya;Mainz Başkonsolosluğu;An der Karlsschanze 7, 55131 Mainz, Almanya;27 Nisan;9 Mayıs;20 Mayıs;24 Mayıs
Almanya;Mainz Başkonsolosluğu  / Saarbrücken;Premier Inn Saarbrücken City Centre otel Faktoreistraße 2, 66111 Saarbrücken, Almanya;29 Nisan;1 Mayıs;20 Mayıs;21 Mayıs
Almanya;Münih Başkonsolosluğu;Karlsplatz 21-24, 80335, Münih, Almanya;27 Nisan;9 Mayıs;20 Mayıs;24 Mayıs
Almanya;Münster Başkonsolosluğu;Airportallee 1, 48268, Greven, Almanya;27 Nisan;9 Mayıs;20 Mayıs;24 Mayıs
Almanya;Münster Başkonsolosluğu / Bielefeld;Duisburgerstr. 25, 33647 Bielefeld, Almanya;29 Nisan;1 Mayıs;20 Mayıs;21 Mayıs
Almanya;Nürnberg Başkonsolosluğu;Steinbühler Str. 4-6, 90443 Nürnberg, Almanya;27 Nisan;9 Mayıs;20 Mayıs;24 Mayıs
Almanya;Nürnberg Başkonsolosluğu / Regensburg;Junkersstrasse 9, 93055 Regensburg, Almanya;29 Nisan;1 Mayıs;20 Mayıs;21 Mayıs
Almanya;Stuttgart Başkonsolosluğu;Lorenzstrasse 11, 70435 Stuttgart-Zuffenhausen / Almanya;27 Nisan;9 Mayıs;20 Mayıs;24 Mayıs
Almanya;Stuttgart Başkonsolosluğu / Ulm;Magirus-Deutz Straße 13, 89077, Ulm, Almanya;29 Nisan;1 Mayıs;20 Mayıs;21 Mayıs
A.B.D;Boston Başkonsolosluğu;31 Saint James Avenue, Suite #840, Boston, MA 02116, USA;29 Nisan;7 Mayıs;20 Mayıs;24 Mayıs
A.B.D;Houston Başkonsolosluğu;5333 Westheimer Road, Suite 1050, Houston, TX 77056, ABD;29 Nisan;7 Mayıs;20 Mayıs;24 Mayıs
